"","title","username","date","stars","content"
"1","Psycho","telegonus","5 September 2001",1010,"So much has been written about this film that all I can do is add my own voice of approval and say that I consider it to be a masterpiece, and add a few things often overlooked or not commented on that add so much to the movie's cumulative power. It's often the little things that make a film work. Here are a few examples:a.) The absolute realism of the first twenty minutes of so, which are so true to life that they might have come from a documentary on how people lived in America forty years ago. There isn't a false note,--or a missed one--as each vocal inflection and raised eyebrow carries great meaning even if, on the surface, not much appears to be happening.b.) Marion and the motorcycle cop. The cop is dark and sinister in appearance, due mostly to the bright desert sun, and never takes off his sunglasses. His conduct is at all times professional; he never raises his voice, and comes across as calm and rather perceptive; and he seems truly concerned over Marion Crane's fate, though he is unaware of her actual predicament. Marion is, alas, a bad actress, and the cop sees through this, if not to the heart of the matter, yet we don't want him to follow her. Despite his appearance the cop is not the angel of death but rather Marion's last chance. Had she confessed to her crime she would have escaped the fate that awaited her; and if she had just been a little less clever, and driven more slowly, and the skies remained clear, he might have followed her to the motel and intervened on her behalf.c.) California Charlie. John Anderson is wonderful as the fast-talking, semi-streetwise small town used car salesman. At the end of almost every other line of dialogue he seems on the verge of discovering who Marion really is, then pulls back or comes to the wrong conclusion. He senses that she is being watched by the cop; but he also wants to make a sale. The scenes at the used car lot are both highly realistic,--and perfectly acted and timed--and also a little frightening, from the opening, ""I'm in no mood for trouble"", to the final ""hey!"" just before Marion drives away. We know that something isn't right, but the problem isn't with the car lot; it's Marion's plight casts a dark shadow over all her scenes there, despite the brightest sunlight imaginable.d.) Chitchat with Norman. Once Marion and Norman settle down for a light meal in the parlor their conversation turns to general things, and Norman is a good observer, if a bit awkward socially. Without actually lying Marion gives herself away with a throwaway line (""Sometimes just once is enough"", in a reference to private traps) and Norman seems to catch her drift, if not the actual meaning of what she's saying, and allows it to pass. We can see that he is moody when he angrily leans forward and delivers an angry, though controlled tirade against putting people in institutions. Every camera angle and line of dialogue in this scene has meaning and carries enormous weight, and yet the drama plays out in a light, relaxed mode, and the performers seems truly connected to one another at its conclusion, strangers no more. This is in my opinion the best written and most beautifully acted, edited and photographed scene I have ever seen in a movie. The handling of every nuance is prodigal and masterful, and the end result nothing less than staggering.e.) The sheriff's house. When Sam and Lila wake up the sheriff and his wife in the middle of the night we see a splendid example of people talking to one another without either party understanding what is in fact going on. The result is a mini-comedy of manners; but it is also good exposition, as we learn of Mrs. Bates' death (and the dress she was buried in, ""periwinkle blue""). John McInyre's sheriff dominates this scene (and no other), and expertly delivers its punchline, ""Well if that's Mrs. Bates in the window, who's that buried up in Greenlawn Cemetary"".f.) Arbogast and Norman. The private detective's interview with Norman is played low-key, and yet we sense the tension in Norman's voice and manner, and know that Arbogast does, too. Something is amiss. This is beyond the question of who killed Marion. The stakes feel very high in this sparring match, and though Norman wins on a technicality, we know that Arbogast is coming back for more.g.) The shrink's explanation. This part of the film has been criticized by many for being a sop thrown to the audience. I disagree. After all, the movie came out in 1960, and by the standards of the time some explanation seems in order, and Dr. Simon Oakland is as good a man for the job as I can imagine. His analysis of Norman's pathology is cogent and extremely well delivered. Yet throughout his speech, with all its Freudian brilliance, the doctor offered a take on the story that we in the audience, even if we can accept it, can never be satisfied with. He can explain the character of Norman Bates rationally, but he cannot make our response to his story and its effect on us feel ultimately safe, feel somehow in control and finalized. Yes, one can put people like Norman under the microscope, and even dissect what one sees, but this doesn't stop such events as unfolded in the movie any less likely to occur. Ask Milton Arbogast.
In conclusion I'd like to say that great films are made up of outstanding little things, not just big moments or fancy effects. There is in fact nothing fancy about Psycho, which is on the surface is a somewhat plain-looking movie. Only when one looks beneath the surface does one see the teeming millions of small things,--gestures, glances, sudden changes in lighting, razor-sharp editing, and all above the refusal on the part of the director to let any one factor dominate--that we understand the meaning of the word genius, the meaning of the word creative."
"2","Psycho","AlsExGal","25 March 2017",1010,"...from the first time I saw it at age 14 until today whenever I run across it.This is the rare example of a much-ballyhooed film that is truly deserving of all the hype surrounding it. It would have been nice to have experienced the film without any knowledge of the plot twists. Unfortunately, for most viewers, the big surprises are not possible since so many of the scenes are part of our popular culture.There were, however, so many unexpected surprises. The opening scene with Janet Leigh and John Gavin in the hotel room was amazing and (pardon the cliché) so real. Hitchcock and Janet Leigh did a brilliant job of pulling us into Marion Crane's story, that of a woman in love with a divorced man who might as well be married considering his heavy financial obligations that leave him unable to marry in a practical sense even though he can in a legal sense. He doesn't even have a proper home - just a room in the back of the store he owns. Marion is then seemingly set up as the center of the movie as she thinks she has found a solution to her problems - a felonious one. Then the focus is skillfully shifted to the Norman Bates character as the ""protagonist"" victimized by his insane mother (or so it seemed) and then the focus is shifted once again to Marion's sister's search. The movie was adapted from a novel so some of the original audience would have been familiar with the plot of the book. In the novel, Norman Bates was a middle-aged man. I think it was a brilliant stroke to have the Norman of the film as a man in his twenties, a boy who never grew up in a man's body. Anthony Perkins is so identified today with his role of Norman Bates that it was surprising to see how endearingly he played him in the early scenes. And he did one of the best stammers I've ever seen in a movie when he was being questioned by the private detective (Martin Balsam) who is also searching for Marion. I also wasn't expecting to see how protective the local sheriff and his wife were of Norman when they were being questioned about him and his mother. You could tell they didn't want somebody (Norman) whom they thought had been dealt a bad hand to have anymore publicity and scrutiny than he already had.This film is mentioned in the documentary ""Moguls and Movie Stars"" as an example of how films were becoming more like TV as the 60s began - spartan art design and a script that was bold in the amount of sex and violence it had, even if the vast majority is implied. You have to be impressed by the versatility that is Hitchcock. Making movies in England? No problem. Making movies in the American studio system? No problem. Modernizing to deal with the evaporation of the production code? Again, no problem. Weird factoid - for you TCM fans out there Robert Osborne is credited as ""man"" in Psycho, although I don't remember him ever mentioning it. The only person it could possibly be unless he never comes close to having his face on camera is the parson as the sheriff and his wife are exiting church. See what you think."
"3","Psycho","ccthemovieman-1","25 October 2006",1010,"When I watched this for the first time in over 30 years, I was surprised how little action there was since I had remembered this as some intense horror movie. Of course, I was young and more impressionable so I guess I just remembered those few dramatic, sensational scenes such as Janet Leigh murdered in the shower and the quick other murder at the top of the stairs. Basically, that was about it, action-wise, BUT I have no complaints because the more I watch this film, the more I like it. It has become my favorite Alfred Hitchcock movie, along with Rear Window.I mention the lack of action, and blood, too, because younger people who might be watching this for the first time are not going to see the kind of horror film they're accustomed to seeing. A generation back, movie makers tended to build up characters and suspense, so there was a lot more storytelling and less action than you see today. Also, this movie doesn't have the shock value today for audiences, either, not after years of Freddie Krueger-type blood-and-guts seen in the past 30 years.But, what you WILL see in this movie is (1) superb acting; (2) a fascinating lead character; (3) excellent photography, and (4) a bizarre story.""Norman Bates"" is one of the most famous fictional names in film history, thanks to this film and the great work portraying him by Anthony Perkins. ""Norman"" is a nutcase, as it turns out and the more you know all about him, the more fun it is to study Perkins and his character ""Norman"" in subsequent viewings. He really has the guy down pat. However, it isn't just Perkins' film; the supporting is just fine with Leigh, whose figure is still awesome no matter how many times you see it; Martin Balsam as the private detective; Vera Miles and John Gavin. Everyone contributes.What makes me really enjoy this movie is the cinematography. I bought this on VHS when it became available on widescreen. Later, of course, I got the DVD. Each time, I appreciate John Russell's camera-work and Hitchcock's direction more and more. I wonder if this isn't Hitchcock's best job of directing as his camera angles and lighting are outstanding. On the DVD, the blacks, whites and grays are just super and the famous house next to the Bates Motel never looked better. That house really looks eerie.The sound effects in here don't hurt. When Balsam is attacked, the accompanying frightening music never fails to bring chills down my spine. The music literally ""screams"" at you.I went 35 years between showings but now have watched this five times in the past four years. I love it and look forward to seeing it again. Many people here think this is Hitchcock's greatest film. Add me to that list."
"4","Psycho","slokes","10 August 2004",1010,"What can you say about a film that's been talked about to death? Just this: If you've never seen it, you owe it to yourself to do so, not because it's a way of paying homage to the one true master of modern film, but because it's so fun to watch.Janet Leigh plays a bored office drone who decides to steal some loot from her boss's obnoxious client and parlay it into a new life with her all-too-distant boyfriend. All is going more or less according to plan until she stops in at the wrong motel, where she befriends a friendly if somewhat nerdy desk clerk only to find it causes problems with that clerk's possessive mother, who as her boy explains, ""is not herself today."" I'll say she isn't, and so would Leigh's Marion Crane, who maybe should have put up that ""Do-Not-Disturb"" sign before taking a shower.You can feel the decade literally shifting out of '50s and into '60s with this one. Even the opening shot, where the camera looks over a Western U.S. city in the middle of the afternoon and zooms in on what looks exactly like the Texas School Book Depository overlooking Dealey Plaza. Norman Rockwell touches abound, like the decor of the motel, but look at what's going on around it. People dress well, they still wear fedoras and jackets, but in their tense conversations and hooded gazes you can feel the culture just ticking away like a time bomb waiting to explode.Most especially, there's Anthony Perkins, who plays motel clerk Norman Bates in a very oddly naturalistic way, complete with facial tics and half-swallowed words, not the polished image one expected to see then. Just compare him with John Gavin, who plays Marion's boyfriend in the standard-actor-of-the-day way. Perkins manages to be so weirdly magnetizing, even in small moments like the way he stumbles on the word ""falsity"" or notes how creepy he finds dampness to be.He shines in bigger scenes, too, like his tense chat with Martin Balsam's boorish but diligent private detective character, Arbogast, who along with Perkins and Leigh delivers a landmark performance. The way both actors play out the awkwardness in their conversation makes you literally sweat. Then again, you're always uneasy around Norman. You definitely feel wary of him right away, but you find yourself liking him, too, even when he's busy covering up ""Mother's"" misdeeds. Not since Bela Legosi played Dracula did you get a horror movie with such a compelling central figure.If you are sampling the many other comments here, be sure to look up Merwyn Grote's. He makes an interesting, compelling case for how director Alfred Hitchcock used his television series as a template for ""Psycho."" Certainly ""Psycho"" looks more like early 1960s television than any of the more sumptuous fare Hitchcock had been bringing to screen at the time. Not only is it in black-and-white, not color, but the sets; a ramshackle motel, a mothbally old house, a couple of cheap looking bedrooms, a bathroom in a used-car dealership, are deliberately low class.It's thrilling to see Hitchcock move so effectively outside his normal element, and move things along with such clinical detachment and low-key technical finesse. Thrilling, too, to realize this is one of his most accomplished products; made by a man who was experienced enough to know how the game was played, and daring enough still to break the rules; indeed, start a whole new ballgame.Is it the best Hitchcock movie? It's definitely one of his best, right up there with ""The 39 Steps"" and ""Strangers On A Train"" and ""Sabotage"" and ""Shadow Of A Doubt."" He only once again came close to making as good a film, with ""The Birds,"" while Janet Leigh and Anthony Perkins never escaped the greatness they helped create here. Poor John Gavin had to quit the biz entirely, and became an ambassador.Often imitated, parodied, referenced, and analyzed to death, ""Psycho"" still isn't played out nearly 45 years after it came out. You owe it to yourself to pay a visit to the Bates Motel; Norman has a room ready."
"5","Psycho","Sleepin_Dragon","15 July 2023",1010,"Marion Crane steals $40,000 from her employer, running away from suspicions and her own guilt, she checks into The Bates Motel, a quiet, out of the way establishment, run by Norman Bates.Oh boy, this film is quite something. Hitchcock truly was the master of suspense, but he proves he could do horror to, Psycho is the perfect fusion of Horror and Suspense.What audiences in 1960 must have thought when they say down to watch this for the first time, when you think what had come before, this film truly was a game changer.Pacing is sensational, it doesn't hold up for a second, the suspense element is tremendous, first time viewers are in for several shocks, when the big moments come, they are hammered home.There are several sensational scenes, but that shower sequence, that rates as one of the greatest movie moments of all time.Anthony Perkins delivers a performance which is nothing short of remarkable, he's so soft and gentle initially, but the switch up, is incredible. Why he wasn't Oscar nominated is beyond me.The music, as big a character as Norman Bates himself, even on the opening sequences it's powerful and alarming, but the score that accompanies the killings, talk about hairs standing up on the back of the neck.One of my top ten greatest film of all time.10/10."
"6","Psycho","littlemartinarocena","23 November 2007",1010,"Robert Bloch wrote the original work, Joseph Stefano adapted it into a tight screenplay but it was Alfred Hitchcock with the extraordinary complicity of Bernard Herrmann who transformed this lurid tale into a classic, horror masterpiece. The score propels us into the moment before the moment arrives provoking the sort of anticipation that verges on the unbearable. The fact that the key scenes have become iconic film moments: copied, imitated, emulated and parodied, have not diminished its impact, not really. The anticipation, underlined by Herrmann's strings, creates a sort of craving for the moment to arrive. That doesn't happen very often. No amount of planning can produce it or re-produce it - otherwise how do you explain the Gus Van Sant version - so, the only possible explanation is an accident, a miraculous film accident and those do happen. Everything falls into place so perfectly that even the things that one may argue are below the smart standard of the film, are needed, the film without every frame is not quite the film. Try to turn away after the climax during Simon Oakland's long explanation. You can't. I couldn't. Partly because you know you'll soon be confronting those eyes, that fly, the car..."
"7","Psycho","arichmondfwc","19 May 2017",1010,"Getting into Hitchcock's Psycho, 57 years after its original release is like assisting to a masterclass of sorts. We can now identify what made this little lurid tale into a classic. Hitchcock himself, naturally, but now we know the first director's cut was a major disappointment and that Alma Reville - Hitch's wife - took over, re edited and the results have been praised, applauded and studied ever since. Janet Leigh's Marion Crane created a movie landmark with her shower scene. Bernard Herrmann and his strings created an extra character that we recognize as soon as it reappears under any disguise but, what shook me the most now in 2017 is Anthony Perkins as Norman Bates. His performance has evolved with the passing of time and its effect has remain as chilling, as moving, as funny and as real as it was in 1960. It's interesting to watch Gus Van Sant's 1998 version with Vince Vaugh as Norman Bates. If you look at the film, shot by shot with Berrnard Herrmann's strings - it's pretty fantastic. - Play it in black and white if you can. The problem and it is a monumental problem, we wait for Janet Leigh and Anthony Perkins, if the casting of Anne Heche was really bad - not a hint of Janet Leigh's humanity, the casting of Vince Vaughn was incomprehensible. Not just not credible for a moment but annoying, very annoying. Anthony Perkins brought something profoundly personal to Norman Bates and as a consequence we connected with his sickness. We felt for him. Okay, sorry, I didn't mean to go there but I felt compelled to because I saw again Psycho (1960) ad Psycho (1998) at 24 hours from each other and realized that the main flaw of the 1998 versions is the absence of Anthony Perkins."
"8","Psycho","TheLittleSongbird","9 December 2009",1010,"I am a huge fan of Hitchcock, and have really liked all of the movies of his I have seen so far. My top 5 favourites are Vertigo, North By Northwest, Rear Window, Rebecca and this masterpiece. Before I saw this, I considered Vertigo as his masterpiece. After seeing this movie, I think Psycho outshines Vertigo.Psycho is a film that you see once and never forget, and one of the few movies out there that has left me traumatised. The infamous shower scene is without doubt one of the most terrifying murder scenes in any film. When I first saw that scene on the 100 Greatest American Films, I was so terrified and I admit it I have never recovered. I had a similar experience watching the Disney film Sleeping Beauty with Maleficent enticing Aurora to the spinning wheel, and Mrs Gulch turning into the Wicked Witch in the Wizard of Oz.The shower scene isn't the only effective or chilling scene in the film- in the events leading up to that scene I was biting my nails. The scene with the old woman in the chair also made me jump out of my skin. The whole of Psycho is terrifying, suspenseful and shocking. Two elements made this so. One was Hitchock's direction. The great director proves how truly great he is by directing Psycho in a masterful way, and manages to deliver the shocks when needed. The other is Bernard Hermann's music. What a creepy score! I loved his score for Vertigo and Miklos Rozsa's for Spellbound, but the high violin motif in the shower scene is the main reason why that scene in particular is so effective. I admit it, when I hear that motif, I start screaming. There is just something about it that makes your blood run cold.Other pros are a good plot, a well constructed screenplay and beautiful black and white cinematography that is perfect in conveying the creepy mood. And the ending did surprise me. The acting though was exemplary, with Janet Leigh giving one of the deservedly most memorable female performances in a Hitchcock movie, and Vera Miles also giving a stellar performance. Stealing the film is Antony Perkins as Norman Bates, he didn't just play creepy, he WAS creepy, his face, his voice, his mannerisms.. in short it is one of the most chilling performances of all time. All in all, a Hitchcock masterpiece! 10/10 Bethany Cox"
"9","Psycho","Smells_Like_Cheese","16 November 2002",1010,"Alfred Hitchock is the master of suspense and Psycho is probably his most famous film. Because, let's face it, one way or another, you have seen or heard of this film. It's been made fun of, been remade(unfortunately), not to mention that this movie's word will be spred from generation to generation. I came across it very young, my parents used to tell me how scary it was and how I wouldn't want to take a shower after watching this film. I didn't believe them, but when I watched it, I for the first time pulled the blanket over my head, it was that frightening! The thing that is so amazing about Psycho is how much of an impact it made, and understandably why it did. It ranked in over 60 million dollars at the box office, now this was the time where tickets were like 50 cents at the theater, now if you compare that to today, that's Titanic like money! It broke many taboo's, like this was the first film to show a toilet being flushed, isn't that interesting? My high school teacher said that her and her mom saw Psycho when it was first released in theaters and she actually ran out of the theater terrified! Alfred did so well keeping us glued to our seats with all his great twists! This was before The Sixth Sense, I mean, the ending is just such a mind blower! But I won't give spoilers.Janet Leigh plays Marion Crane, a woman who is in love with a divorced man Sam Loomis. He says once he pays his ex wife off with the alimony, they'll get married. When Marion's boss asks her to put their most valued client's money, $40,000 to be exact, and bring it to the bank. She has other plans though, she takes the money for herself and flee's the city, but not before her boss sees her driving off. Shaky enough, huh? But she pulls over to get a nap in, and a police officer asks if she's OK, but she gets shaky and just wants to drive off. The policemen fallows her since she is so shaky and she ends up buying a different car. She gets caught in a giant rainstorm and pulls over to the Bates Motel.She meets there, the owner, a pleasant and polite young man, Norman Bates. He lives in the house next to the motel with his mother. Marion checks in and Norman offers her dinner, they have a conversation mostly about his mom and Marion is concerned when she heard screams from the house that sounded like his mom. Norman gets on the defenses and asks Marion some questions as well, she says she is going to a ""private island"". Norman is very attracted to her, you can tell immediately, and she leaves knowing that she has to get out of the trap she set for herself back in Phoenix. As she's taking a shower before bed, a mysterious figure comes to the curtain and opens it stabbing Marion violently several times causing her to die. Norman cleans up the mess and gets rid of her body not knowing about her money and throwing that away too.Marion's boyfriend, Sam and her sister, Lola, hire a private detective to find her. The private detective comes across The Bates Motel and doesn't end up coming back after trying to ""talk"" to the mother. Lola and Sam are concerned and decide to investigate for themselves, but will they end up coming back to the city alive? Psycho is just one of those movies you have to see before you die. It's one of the most important films of our time and will never be forgotten. It's a true treasure with terrific actors and a terrifying plot that will give you nightmares for weeks! Please don't let that scare you, I'm just having fun, but it is a freaky film! Watch it in the dark! It has a better effect, I think. Over 40 years and this film is still horrifying as if it were made today! 10/10"
"10","Psycho","ma-cortes","26 June 2007",810,"This famous film with known story tells about Marion Crane (Janet Leigh) , she works in a Phoenix (Arizona) office, when his employer trusts her some money . Seeing the opportunity to take the cash and beginning a new life along with her fiancé Sam (John Gavin) . Larcenous Marion leaves Phoenix and heads with her car towards California where her lover with debts is owner a store . When is caught in a storm and pursued by a policeman , she leaves the highway and enters Bates hotel . The hotel with twelve rooms (and 12 showers) is managed by a strange young (Anthony Perkins) who seems to be submitted by his overbearing mother , she's living at a creaky mansion nearly hotel. Then, rare things start to happen . Later on , a detective named Arbogast (Martin Balsam) , her sister (Vera Miles) and Sam (John Gavin) are looking for Marion , asking for help a stubborn sheriff (John McIntire).¨Psycho¨ was not only Hitchcock's biggest successful movie , but was a phenomenon in its own right . The picture is a magnum opus in the terror genre and its immediate impact and its future influence was enormous and cannot be over emphasised . It's the quinta-essential shocker that created an authentic sub-genre about psycho-killers and continuing until nowadays . The shower image is one of the most studied , copied and analysed sequences in cinema history and has obtained a notoriety what exceeds of the movie itself . Terrific performance by Anthony Perkins in an immortal role as Norman Bates and sensational Janet Leigh with Oscar nomination included that was the only one in her long career. Inventive and superbly constructed plot , filled with delicious black humor by writer Joseph Stefano based on Robert Bloch's novel. The highlight of the film is , of course , the shower scene , it was made with 70 cameras to shot the 45 seconds of footage and the creepy sound effects were realized by stabbing a knife into a melon . Magnificent credit titles by Saul Bass , he's usual on Hitchcock films .Excellent black and white cinematography by cameraman John Russell , as Hitch thought it would be very gory in colour . Bernard Herrmann's legendary musical score copied and endlessly imitated , aids to create a thrilling atmosphere . Film is directed with exquisite taste and intelligence by master Hitchcock who makes an impeccable control of every scene and maneuvers your emotions , infusing with a deliciously macabre wit , it makes ¨Psycho¨ far superior to the several movies what tried duplicate , or imitate it ; these are the following ones : ¨Psycho II¨ (1983) by Richard Franklin , ¨Psycho III¨ (1986) by Anthony Perkins himself and for cable television : ¨Psycho IV¨ (1990) by Mick Garris. Hitchcock's Psycho belongs to his best period in the 5os and 60s when he produced his finest works , perfecting the art of suspense in a series of masterpieces : ¨Dial M¨, ¨Rear window¨, ¨Vertigo¨, ¨North by Nortwest¨, ¨Birds¨ and specially ¨Psycho¨ , all of them are still studied and copied today . Rating : Indispensable and essential classic movie."
